Name    NAGAG   NAGAU   NAUAU   NTOT
AgIco10_Au3_top_2face2_ini      25      16      0       41
AgIco10_Au3_top_face_bottom_ini 25      16      0       41
AgIco11_Au2_face_bottom_ini     30      12      0       42
AgIco11_Au2_face_center_ini     25      16      0       41
AgIco11_Au2_top_bottom_ini      30      12      0       42
AgIco11_Au2_top_face_ini        31      10      0       41
AgIco12_Au1_center_ini  30      12      0       42
AgIco12_Au1_face_ini    36      6       0       42
AgIco7_Au6_2face_top_center_2face2_ini  12      18      12      42
AgIco7_Au6_3face_bottom_2face2_ini      10      22      10      42
AgIco7_Au6_3face_top_center_bottom_ini  10      22      10      42
AgIco7_Au6_4face_2face2_ini     14      20      8       42
AgIco7_Au6_4face_top_bottom_ini 13      22      7       42
AgIco7_Au6_4face_top_face2_ini  15      18      9       42
AgIco7_Au6_5face_bottom_ini     11      26      5       42
AgIco7_Au6_5face_center_ini     10      22      10      42
AgIco7_Au6_5face_face2_ini      13      22      7       42
AgIco7_Au6_5face_top_ini        16      16      10      42
AgIco8_Au5_2face_2face2_center_ini      15      18      9       42
AgIco8_Au5_2face_2face2_top_ini 19      16      7       42
AgIco8_Au5_2face_top_center_bottom_ini  13      22      7       42
AgIco8_Au5_3face_top_bottom_ini 17      20      5       42
AgIco8_Au5_4face_center_ini     13      22      7       42
AgIco8_Au5_4face_face2_ini      17      20      5       42
AgIco8_Au5_5face_ini    17      20      5       42
AgIco8_Au5_top_face_center_face2_bottom_ini     13      22      7       42
AgIco9_Au4_2face_2face2_ini     23      14      5       42
AgIco9_Au4_3face_bottom_ini     20      20      2       42
AgIco9_Au4_3face_center_ini     17      20      5       42
AgIco9_Au4_3face_face2_ini      22      16      4       42
AgIco9_Au4_top_2face_bottom_ini 21      18      3       42
AgIco9_Au4_top_2face_center_ini 18      18      6       42
AgIco9_Au4_top_face_center_bottom_ini   16      22      4       42
Au_07_Ico13_config.302  11      20      11      42
Au_07_Ico13_config.305  10      22      10      42
Au_07_Ico13_config.306  9       24      9       42
Au_07_Ico13_config.307  9       24      9       42
Au_07_Ico13_config.308  9       24      9       42
Au_07_Ico13_config.309  9       24      9       42
Au_07_Ico13_config.311  8       26      8       42
Au_07_Ico13_config.312  8       26      8       42
Au_07_Ico13_config.316  9       18      15      42
Au_07_Ico13_config.318  7       22      13      42
Au_07_Ico13_config.319  7       22      13      42
Au_07_Ico13_config.320  6       24      12      42
Au_07_Ico13_config.321  6       24      12      42
Au_07_Ico13_config.322  6       24      12      42
Au_07_Ico13_config.324  7       22      13      42
Au_07_Ico13_config.325  6       24      12      42
Au_07_Ico13_config.326  6       24      12      42
Au_07_Ico13_config.327  5       26      11      42
Au_07_Ico13_config.328  6       24      12      42
Au_07_Ico13_config.329  6       24      12      42
Au_08_Ico13_config.302  8       20      14      42
Au_08_Ico13_config.306  6       24      12      42
Au_08_Ico13_config.307  6       24      12      42
Au_08_Ico13_config.308  6       24      12      42
Au_08_Ico13_config.309  5       26      11      42
Au_08_Ico13_config.310  6       24      12      42
Au_08_Ico13_config.312  6       18      18      42
Au_08_Ico13_config.314  5       20      17      42
Au_08_Ico13_config.316  4       22      16      42
Au_08_Ico13_config.317  4       22      16      42
Au_08_Ico13_config.318  4       22      16      42
Au_08_Ico13_config.319  4       22      16      42
Au_08_Ico13_config.321  3       24      15      42
Au_08_Ico13_config.322  3       24      15      42
Au_09_Ico13_config.303  4       22      16      42
Au_09_Ico13_config.305  3       24      15      42
Au_09_Ico13_config.309  3       18      21      42
Au_09_Ico13_config.310  3       18      21      42
Au_09_Ico13_config.312  2       20      20      42
Au_09_Ico13_config.313  2       20      20      42
Au_09_Ico13_config.314  0       22      19      41
Au_09_Ico13_config.315  2       20      20      42
Au_10_Ico13_config.302  2       20      20      42
Au_10_Ico13_config.303  2       20      20      42
Au_10_Ico13_config.308  0       18      24      42
AuIco10_Ag3_2face_center_ini    3       18      21      42
AuIco10_Ag3_3face_ini   2       14      26      42
AuIco10_Ag3_top_2face_ini       3       12      27      42
AuIco10_Ag3_top_2face2_ini      0       16      25      41
AuIco10_Ag3_top_face_bottom_ini 0       16      25      41
AuIco11_Ag2_face_bottom_ini     0       12      30      42
AuIco11_Ag2_face_center_ini     0       16      25      41
AuIco11_Ag2_top_bottom_ini      0       12      30      42
AuIco11_Ag2_top_face_ini        0       10      31      41
AuIco12_Ag1_center_ini  0       12      30      42
AuIco12_Ag1_face_ini    0       6       36      42
AuIco7_Ag6_2face_top_center_2face2_ini  12      18      12      42
AuIco7_Ag6_3face_bottom_2face2_ini      9       18      15      42
AuIco7_Ag6_3face_top_center_bottom_ini  10      22      10      42
AuIco7_Ag6_4face_2face2_ini     8       20      14      42
AuIco7_Ag6_4face_top_bottom_ini 7       22      13      42
AuIco7_Ag6_4face_top_face2_ini  9       18      15      42
AuIco7_Ag6_5face_bottom_ini     5       26      11      42
AuIco7_Ag6_5face_center_ini     10      22      10      42
AuIco7_Ag6_5face_face2_ini      7       22      13      42
AuIco7_Ag6_5face_top_ini        10      16      16      42
AuIco8_Ag5_2face_2face2_center_ini      9       18      15      42
AuIco8_Ag5_2face_2face2_top_ini 7       16      19      42
AuIco8_Ag5_2face_top_center_bottom_ini  7       22      13      42
AuIco8_Ag5_3face_top_bottom_ini 5       20      17      42
AuIco8_Ag5_4face_center_ini     7       22      13      42
AuIco8_Ag5_4face_face2_ini      5       20      17      42
AuIco8_Ag5_5face_ini    5       20      17      42
AuIco8_Ag5_top_face_center_face2_bottom_ini     7       22      13      42
AuIco9_Ag4_2face_2face2_ini     5       14      23      42
AuIco9_Ag4_3face_bottom_ini     2       20      20      42
AuIco9_Ag4_3face_center_ini     5       20      17      42
AuIco9_Ag4_3face_face2_ini      4       16      22      42
AuIco9_Ag4_top_2face_bottom_ini 3       18      21      42
AuIco9_Ag4_top_2face_center_ini 6       18      18      42
AuIco9_Ag4_top_face_center_bottom_ini   4       22      16      42
